system,year,quarter,region,SEX,age_group,OCCUPATION,labor_force_sta,value,unit,source
ในระบบ,2562,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ช่วยธุรกิจครัวเรือน,ไม่หางานทำ/พร้อมที่จะทำงาน,1.17,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 1,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ลูกจ้างรัฐบาล,รวม,1.07,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 1,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,1.07,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 2,ภาคเหนือ,ชาย,60 ปีขึ้นไป,การรวมกลุ่ม,รวม,2.43,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 2,ภาคเหนือ,หญิง,60 ปีขึ้นไป,นายจ้าง,หางานทำ,0.19,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 2,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,2.24,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 3,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ช่วยธุรกิจครัวเรือน,รวม,3.31,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 3,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ลูกจ้างรัฐบาล,หางานทำ,0.27,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 3,ภาคเหนือ,หญิง,60 ปีขึ้นไป,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,3.04,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 4,ภาคเหนือ,หญิง,60 ปีขึ้นไป,การรวมกลุ่ม,รวม,3.32,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,นายจ้าง,หางานทำ,0.7,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 4,ภาคเหนือ,ชาย,60 ปีขึ้นไป,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,2.62,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,107.08,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,24.61,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,82.48,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,90.44,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,23.9,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,66.54,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,78.66,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,13.39,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,65.27,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,73.33,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,16.95,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,56.38,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,97.27,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,13.65,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,83.62,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,90.53,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,24.33,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,66.2,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,68.43,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,11.02,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,57.41,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,41.33,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,10.74,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,30.59,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,75.61,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,15.87,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,59.74,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,93.53,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,13.09,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,80.44,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,79.33,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,19.94,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,59.39,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,52.26,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,5.44,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,46.83,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,39.43,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,4.69,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,34.73,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,97.03,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,11.44,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,85.6,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,81.63,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,10.53,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,71.1,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,79.37,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,9.37,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,70,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,147.58,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,29.27,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,118.31,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,110.74,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,23.65,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,87.09,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,116.12,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,7.53,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,108.58,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,90.13,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,15.57,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2560,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,74.56,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,124.29,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,17.19,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,107.09,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,95.78,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,10.17,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,85.61,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,63.83,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,12.3,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,51.53,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,73.75,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,9.77,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2561,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,63.98,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,75.93,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,20.77,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,55.16,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,72.67,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,8.36,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,64.32,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,65.84,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,12.27,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,53.57,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,79.45,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,9.55,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2562,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,69.9,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ช่วยธุรกิจครัวเรือน,รวม,79.39,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างรัฐบาล,หางานทำ,10.45,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,68.93,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,การรวมกลุ่ม,รวม,167.99,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,นายจ้าง,หางานทำ,11.14,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,156.84,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ช่วยธุรกิจครัวเรือน,รวม,153.49,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างรัฐบาล,หางานทำ,19.52,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,133.97,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,หญิง,รวม,การรวมกลุ่ม,รวม,126.78,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,นายจ้าง,หางานทำ,14.82,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2563,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ชาย,รวม,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,111.96,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,15-19 ปี,ช่วยธุรกิจครัวเรือน,รวม,16.47,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,15-19 ปี,ลูกจ้างรัฐบาล,หางานทำ,1.34,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ชาย,15-19 ปี,ลูกจ้างเอกชน,ไม่หางานทำ/พร้อมที่จะทำงาน,15.13,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ชาย,15-19 ปี,การรวมกลุ่ม,รวม,13.4,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,15-19 ปี,นายจ้าง,หางานทำ,1.37,พันคน,สำนักงานสถิติแห่งชาติ
ในระบบ,2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,หญิง,15-19 ปี,ประกอบธุรกิจส่วนตัว,ไม่หางานทำ/พร้อมที่จะทำงาน,12.03,พันคน,สำนักงานสถิติแห่งชาติ
